SPEEDS: 0, 0
 state    positions        speeds
SPEEDS: 1, 6
 state    positions        speeds
0 : [0, 0, None] [1, 6, None]
1 : [0, 0, None] [2, 7, None]
2 : [0, 0, None] [3, 8, None]
3 : [0, 0, None] [4, 9, None]
4 : [0, 0, None] [5, 10, None]
5 : [0, 0, None] [6, 11, None]
6 : [0, 0, None] [7, 12, None]
7 : [0, 0, None] [8, 13, None]
8 : [0, 0, None] [9, 14, None]
9 : [0, 0, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
17 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
22 : [3, 4, None] [14, 11, None]
23 : [3, 4, None] [14, 8, None]
26 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 7
 state    positions        speeds
0 : [0, 0, None] [1, 7, None]
1 : [0, 0, None] [2, 8, None]
2 : [0, 0, None] [3, 9, None]
3 : [0, 0, None] [4, 10, None]
4 : [0, 0, None] [5, 11, None]
5 : [0, 0, None] [6, 12, None]
6 : [0, 0, None] [7, 13, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 0, None] [9, 14, None]
9 : [0, 0, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
17 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
22 : [3, 4, None] [14, 11, None]
23 : [3, 4, None] [14, 8, None]
25 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 8
 state    positions        speeds
0 : [0, 0, None] [1, 8, None]
1 : [0, 0, None] [2, 9, None]
2 : [0, 0, None] [3, 10, None]
3 : [0, 0, None] [4, 11, None]
4 : [0, 0, None] [5, 12, None]
5 : [0, 0, None] [6, 13, None]
6 : [0, 0, None] [7, 13, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 0, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
16 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
25 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 9
 state    positions        speeds
0 : [0, 0, None] [1, 9, None]
1 : [0, 0, None] [2, 10, None]
2 : [0, 0, None] [3, 11, None]
3 : [0, 0, None] [4, 12, None]
4 : [0, 0, None] [5, 12, None]
5 : [0, 0, None] [6, 13, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 0, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
16 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 11, None]
23 : [3, 4, None] [14, 8, None]
24 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 10
 state    positions        speeds
0 : [0, 0, None] [1, 10, None]
1 : [0, 0, None] [2, 11, None]
2 : [0, 0, None] [3, 12, None]
3 : [0, 0, None] [4, 13, None]
4 : [0, 0, None] [5, 13, None]
5 : [0, 0, None] [6, 14, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 3, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
16 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
21 : [3, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
24 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 11
 state    positions        speeds
0 : [0, 0, None] [1, 11, None]
1 : [0, 0, None] [2, 12, None]
2 : [0, 0, None] [3, 13, None]
3 : [0, 0, None] [4, 14, None]
4 : [0, 0, None] [5, 14, None]
5 : [0, 0, None] [6, 14, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 3, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
15 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 12
 state    positions        speeds
0 : [0, 0, None] [1, 12, None]
1 : [0, 0, None] [2, 13, None]
2 : [0, 0, None] [3, 14, None]
3 : [0, 0, None] [4, 14, None]
4 : [0, 0, None] [5, 14, None]
5 : [0, 0, None] [6, 14, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 3, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
21 : [3, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 13
 state    positions        speeds
0 : [0, 0, None] [1, 13, None]
1 : [0, 0, None] [2, 13, None]
2 : [0, 0, None] [3, 13, None]
3 : [0, 0, None] [4, 14, None]
4 : [0, 0, None] [5, 14, None]
5 : [0, 0, None] [6, 14, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 3, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
21 : [3, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 14
 state    positions        speeds
0 : [0, 0, None] [1, 14, None]
1 : [0, 0, None] [2, 14, None]
2 : [0, 0, None] [3, 14, None]
3 : [0, 0, None] [4, 14, None]
4 : [0, 0, None] [5, 14, None]
5 : [0, 0, None] [6, 14, None]
6 : [0, 0, None] [7, 14, None]
7 : [0, 0, None] [8, 14, None]
8 : [0, 3, None] [9, 14, None]
9 : [0, 3, None] [10, 14, None]
10 : [0, 3, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
21 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 2, 0
 state    positions        speeds
0 : [0, 0, None] [2, 0, None]
1 : [0, 0, None] [2, 1, None]
2 : [0, 0, None] [3, 2, None]
3 : [0, 0, None] [4, 3, None]
4 : [0, 0, None] [5, 4, None]
5 : [0, 0, None] [5, 5, None]
6 : [0, 0, None] [6, 6, None]
7 : [0, 0, None] [7, 7, None]
8 : [0, 0, None] [8, 8, None]
9 : [0, 0, None] [9, 9, None]
10 : [0, 0, None] [10, 10, None]
11 : [0, 0, None] [11, 11, None]
12 : [0, 0, None] [12, 12, None]
13 : [0, 0, None] [13, 13, None]
14 : [0, 0, None] [14, 13, None]
15 : [1, 3, None] [14, 14, None]
22 : [3, 4, None] [14, 14, None]
